order_id,customer_name,order_type,status,priority,created_date,due_date,assigned_to,product,value_aud,last_updated,delay_reason,notes
SO-2026-001,BHP Operations Pty Ltd,Sales Order,Blocked,High,2026-04-15,2026-05-20,Sarah Chen,Edwards nEXT300 Turbomolecular Pump,45000,2026-05-28,Awaiting customer PO approval,Customer procurement on hold pending budget review
SV-2026-001,Rio Tinto Minerals,Service Order,In Progress,Medium,2026-05-01,2026-06-10,James Okafor,GXS450 Dry Screw Pump Preventive Maintenance,8500,2026-05-30,,Scheduled maintenance visit confirmed for 10 June
SO-2026-002,Cochlear Limited,Sales Order,At Risk,High,2026-04-20,2026-06-04,Sarah Chen,EXDC200 Dry Claw Vacuum Pump,22000,2026-05-25,Part on backorder ETA unknown,Critical component delay - customer escalating to account manager
SV-2026-002,Woodside Energy Ltd,Service Order,Blocked,High,2026-04-10,2026-05-15,Michael Torres,Leybold TURBO 1000 Overhaul,31500,2026-05-20,Technical clarification needed from site,Site access approval pending safety induction renewal
SO-2026-003,CSL Limited,Sales Order,Open,Medium,2026-05-10,2026-06-20,Amy Nguyen,STP-iX3306 Compound Turbo Pump,18750,2026-05-29,,Quote accepted awaiting delivery schedule confirmation
SV-2026-003,Newcrest Mining,Service Order,Completed,Low,2026-04-05,2026-05-10,James Okafor,GVS250 Rotary Vane Pump Service,4200,2026-05-09,,Service completed and report sent to customer
SO-2026-004,Fortescue Metals Group,Sales Order,Open,High,2026-05-15,2026-06-30,Michael Torres,nEXT85 Turbomolecular Pump x2,28000,2026-06-01,,Large order split into two delivery consignments
SV-2026-004,Orica Limited,Service Order,Escalated,High,2026-04-22,2026-05-22,Sarah Chen,Edwards GXS160 Emergency Repair,12000,2026-05-27,Replacement part not in local stock,Customer production line stopped - escalated to national manager
SO-2026-005,Ansell Limited,Sales Order,In Progress,Medium,2026-05-08,2026-06-15,Amy Nguyen,EXDC80 Dry Claw Pump,9800,2026-05-31,,Order confirmed and in warehouse picking stage
SV-2026-005,Santos Ltd,Service Order,At Risk,Medium,2026-04-28,2026-06-05,James Okafor,GVS630 Full Service,15600,2026-05-24,Waiting on customer site access permit,Permit submitted 2 weeks ago with no response from site
SO-2026-006,Incitec Pivot Ltd,Sales Order,Open,Low,2026-05-20,2026-07-15,Michael Torres,STP-iX455 Pump System,42000,2026-05-30,,Long lead time item - customer advised of delivery timeline
SV-2026-006,Alcoa Australia,Service Order,Completed,Medium,2026-04-01,2026-04-30,Sarah Chen,Leybold SOGEVAC SV300 Annual Service,6300,2026-04-29,,Annual service completed and compliance certificate issued
SO-2026-007,Sonic Healthcare Ltd,Sales Order,At Risk,High,2026-05-02,2026-06-02,Amy Nguyen,nEXT400 Turbomolecular Pump,38500,2026-05-26,Shipping delay from Malaysia HQ,DHL shipment held at Sydney customs - customer notified
